country.name.en,iso3n,iso3c
St. Lucia,662,LCA
St. Pierre & Miquelon,666,SPM
St. Vincent & Grenadines,670,VCT
Sudan,729,SDN
Suriname,740,SUR
Svalbard & Jan Mayen,744,SJM
Sweden,752,SWE
Switzerland,756,CHE
Syria,760,SYR
Taiwan,158,TWN
Tajikistan,762,TJK
Tanzania,834,TZA
Thailand,764,THA
Timor-Leste,626,TLS
Togo,768,TGO
Tokelau,772,TKL
Tonga,776,TON
Trinidad & Tobago,780,TTO
Tunisia,788,TUN
Turkey,792,TUR
Turkmenistan,795,TKM
Turks & Caicos Islands,796,TCA
Tuvalu,798,TUV
U.S. Virgin Islands,850,VIR
Uganda,800,UGA
Ukraine,804,UKR
United Arab Emirates,784,ARE
United Kingdom,826,GBR
United States,840,USA
United States Minor Outlying Islands (the),581,UMI
Uruguay,858,URY
Uzbekistan,860,UZB
Vanuatu,548,VUT
Vatican City,336,VAT
Venezuela,862,VEN
Vietnam,704,VNM
Wallis & Futuna,876,WLF
Western Sahara,732,ESH
Yemen,887,YEM
Zambia,894,ZMB
Zimbabwe,716,ZWE
